NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0009016	NRXN1	P300-CBP coactivator family	Regulatory protein gene families	0.106	0.115
NM_0001021	EFEMP1	Fibroblast growth factors (FGF)	Transporters	0.525	0.496
NM_0001306	VRK2	Arf family	Signal transducing proteins	0.403	0.407
NM_0009864	FANCL	Nuclear receptor	Regulatory protein gene families	0.883	0.922
NM_0009575	PEX13	Roundabout family	Transporters	0.654	0.59
NM_0007980	FAM161A	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.453	0.486
NM_0008253	GFPT1	Myosin	Motor proteins	0.846	0.816
NM_0007179	TIA1	Expansin gene family	Transporters	0.394	0.378
NM_0009772	FIGLA	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.638	0.625
NM_0001411	SPR	SOX gene family	Regulatory protein gene families	0.108	0.102
NM_0009241	ALMS1	SOX gene family	Regulatory protein gene families	0.329	0.36
NM_0009587	BOLA3	Immunoglobulin superfamily	Immune system proteins	0.229	0.246
NM_0007483	MAT2A	General transcription factor	Regulatory protein gene families	0.381	0.397
NM_0001474	SFTPB	MADS-box gene family	Regulatory protein gene families	0.415	0.38
NM_0002310	REEP1	Roundabout family	Transporters	0.45	0.435
NM_0007157	SNRNP200	Bacterial potassium transporter	Transporters	0.267	0.277
NM_0006803	CNNM4	Nuclear receptor	Regulatory protein gene families	0.845	0.92
NM_0004512	ZAP70	NF-kB	Regulatory protein gene families	0.049	0.051
NM_0005196	FHL2	CDK inhibitors	Regulatory protein gene families	0.791	0.721
NM_0009787	RANBP2	Cyclins	Regulatory protein gene families	0.012	0.013
NM_0007705	NPHP1	Monoamine transporter	Transporters	0.89	0.825
NM_0006503	IL1RN	GATA transcription factor	Regulatory protein gene families	0.622	0.654
NM_0003734	PAX8	Serine/threonine-specific protein kinase	Signal transducing proteins	0.595	0.62
NM_0009482	BIN1	RIG-I like receptors	Immune system proteins	0.136	0.126
NM_0006859	LIMS2	SNARE family	Transporters	0.812	0.863
NM_0005363	CFC1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.711	0.642
NM_0004743	CXCR4	MADS-box gene family	Regulatory protein gene families	0.324	0.293
NM_0008580	KYNU	GATA transcription factor	Regulatory protein gene families	0.561	0.601
NM_0001482	ZEB2	SNARE family	Transporters	0.131	0.122
NM_0005960	MMADHC	Cyclin dependent kinases	Regulatory protein gene families	0.17	0.167
NM_0006674	GPD2	Kinesin	Motor proteins	0.907	0.997
NM_0004999	TBR1	DHH phosphatase family	Transporters	0.04	0.041
NM_0004254	GALNT3	Roundabout family	Transporters	0.471	0.452
NM_0004626	DCAF17	Transcription factors	Regulatory protein gene families	0.005	0.005
NM_0002038	WIPF1	Cyclins	Regulatory protein gene families	0.533	0.58
NM_0002840	CHRNA1	Serine/threonine-specific protein kinase	Signal transducing proteins	0.76	0.775
NM_0005264	HOXD13	Families containing homeobox domains	Regulatory protein gene families	0.705	0.752
NM_0006738	HOXD10	Families containing homeobox domains	Regulatory protein gene families	0.597	0.637
NM_0002680	AGPS	Serine/threonine-specific protein kinase	Signal transducing proteins	0.241	0.261
NM_0002073	PDE11A	CDK inhibitors	Regulatory protein gene families	0.937	0.87
NM_0009034	PRKRA	Janus kinases	Signal transducing proteins	0.962	0.887
NM_0007803	CERKL	SOX gene family	Regulatory protein gene families	0.849	0.84
NM_0006839	STAT1	Neurotransmitter transporter	Transporters	0.064	0.067
NM_0001810	DNAH7	Glycine transporter	Transporters	0.884	0.829
NM_0006188	PGAP1	Major facilitator superfamily	Transporters	0.95	1.003
NM_0002750	HSPD1	G-proteins	Signal transducing proteins	0.232	0.222
NM_0006765	SATB2	Immunoglobulin superfamily	Immune system proteins	0.772	0.836
NM_0007554	NDUFB3	SOX gene family	Regulatory protein gene families	0.787	0.715
NM_0008242	CASP8	Expansin gene family	Transporters	0.33	0.299
NM_0005706	TMEM237	Rho family	Signal transducing proteins	0.453	0.479
NM_0006459	ICOS	Heat shock proteins	Transporters	0.704	0.68
NM_0003043	FASTKD2	GATA transcription factor	Regulatory protein gene families	0.801	0.814
NM_0006905	CRYGD	SOX gene family	Regulatory protein gene families	0.94	0.861
NM_0002630	PNKD	Cyclin dependent kinases	Regulatory protein gene families	0.074	0.08
NM_0003734	IHH	Fibroblast growth factors (FGF)	Transporters	0.95	0.856
NM_0004783	GMPPA	Membrane-spanning 4A	Transporters	0.908	0.863
NM_0004655	OBSL1	Bacterial potassium transporter	Transporters	0.287	0.264
NM_0009777	UGT1A4	NF-kB	Regulatory protein gene families	0.717	0.773
NM_0003690	TBC1D20	Cyclins	Regulatory protein gene families	0.626	0.637
NM_0002103	PDYN	GABA transporter	Transporters	0.87	0.799
NM_0001095	TGM6	Myosin	Motor proteins	0.644	0.598
NM_0002835	IDH3B	DLX gene family	Regulatory protein gene families	0.754	0.775
NM_0007417	ITPA	Ion channels	Transporters	0.395	0.402
NM_0006367	SLC4A11	P300-CBP coactivator family	Regulatory protein gene families	0.022	0.024
NM_0009074	PLCB1	Monoamine transporter	Transporters	0.449	0.462
NM_0008376	PLCB4	Receptor tyrosine kinases	Signal transducing proteins	0.309	0.296
NM_0004234	NDUFAF5	Cyclins	Regulatory protein gene families	0.166	0.172
NM_0003166	BFSP1	Bacterial potassium transporter	Transporters	0.616	0.628
NM_0007161	MGME1	SNARE family	Transporters	0.651	0.66
NM_0005628	RIN2	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.807	0.866
NM_0001360	PYGB	Arf family	Signal transducing proteins	0.509	0.501
NM_0001919	ASXL1	Rap family	Signal transducing proteins	0.525	0.512
NM_0001696	DNMT3B	SRC kinase family	Signal transducing proteins	0.383	0.415
NM_0006869	AHCY	Receptor tyrosine kinases	Signal transducing proteins	0.981	0.937
NM_0004425	GSS	Antiporter	Transporters	0.022	0.022
NM_0008020	GDF5	Ion channels	Transporters	0.5	0.455
NM_0003893	PIGT	Rab family	Signal transducing proteins	0.848	0.886
NM_0009421	CTSA	GATA transcription factor	Regulatory protein gene families	0.314	0.303
NM_0005921	ZNF335	Membrane-spanning 4A	Transporters	0.614	0.564
NM_0003491	SLC12A5	Janus kinases	Signal transducing proteins	0.413	0.402
NM_0005606	KCNB1	Antiporter	Transporters	0.95	0.906
NM_0001526	ADNP	Globin	Transporters	0.817	0.805
NM_0006066	DPM1	Rho family	Signal transducing proteins	0.241	0.258
NM_0002769	PCK1	GATA transcription factor	Regulatory protein gene families	0.083	0.079
NM_0008947	VAPB	GABA transporter	Transporters	0.615	0.675
NM_0008946	STX16	Heat shock proteins	Transporters	0.782	0.851
NM_0006013	GNAS	GATA transcription factor	Regulatory protein gene families	0.92	0.976
NM_0007880	EEF1A2	SRC kinase family	Signal transducing proteins	0.489	0.534
NM_0008881	RTEL1	GABA transporter	Transporters	0.484	0.457
NM_0008853	DNAJC5	P300-CBP coactivator family	Regulatory protein gene families	0.092	0.093
NM_0007744	MRAP	Cyclin dependent kinases	Regulatory protein gene families	0.959	1.019
NM_0008246	SYNJ1	Aquaporins	Transporters	0.77	0.72
NM_0009010	RUNX1	SNARE family	Transporters	0.002	0.002
NM_0001886	RIPK4	GABA transporter	Transporters	0.021	0.023
NM_0008378	RSPH1	POU family	Regulatory protein gene families	0.847	0.88
NM_0008704	CRYAA	NOD-like receptors	Immune system proteins	0.6	0.586
NM_0005547	SIK1	Nuclear receptor	Regulatory protein gene families	0.926	0.988
NM_0008471	CSTB	Membrane-spanning 4A	Transporters	0.231	0.245
NM_0007250	C21orf2	NF-kB	Regulatory protein gene families	0.712	0.755
NM_0005599	TSPEAR	DHH phosphatase family	Transporters	0.648	0.659
NM_0001701	ITGB2	Globin	Transporters	0.088	0.091
NM_0007062	COL18A1	Heat shock proteins	Transporters	0.941	1.015
NM_0007950	FTCD	P300-CBP coactivator family	Regulatory protein gene families	0.325	0.35
NM_0004677	CECR1	Major histocompatibility complex (MHC)	Immune system proteins	0.121	0.114
NM_0006035	PRODH	FH2 protein (formin) gene family	Transporters	0.44	0.473
NM_0006390	SLC25A1	Ras family	Signal transducing proteins	0.154	0.16
NM_0006653	CLTCL1	Equilibrative nucleoside transporter family	Transporters	0.22	0.208
NM_0006446	GP1BB	GATA transcription factor	Regulatory protein gene families	0.461	0.431
NM_0003396	SCARF2	Solute carrier family	Transporters	0.736	0.789
NM_0004587	SNAP29	Olfactory receptor	Signal transducing proteins	0.533	0.527
NM_0006523	LZTR1	Ras family	Signal transducing proteins	0.149	0.136
NM_0003959	IGLL1	Fibroblast growth factors (FGF)	Transporters	0.384	0.405
NM_0004817	SMARCB1	Bacterial potassium transporter	Transporters	0.537	0.493
NM_0006193	MN1	Solute carrier family	Transporters	0.862	0.817
NM_0005421	TIMP3	ATCase/OTCase family	Transporters	0.551	0.557
NM_0008361	CACNG2	G-proteins	Signal transducing proteins	0.767	0.751
NM_0006570	NCF4	Janus kinases	Signal transducing proteins	0.305	0.329
NM_0005195	RAC2	Glutamate transporter	Transporters	0.05	0.048
NM_0003711	SOX10	Fibroblast growth factors (FGF)	Transporters	0.831	0.908
NM_0006512	XPNPEP3	Major histocompatibility complex (MHC)	Immune system proteins	0.762	0.75
NM_0004794	TNFRSF13C	Peroxin	Transporters	0.534	0.513
NM_0006213	UPK3A	14-3-3 protein family	Regulatory protein gene families	0.324	0.332
NM_0007985	TUBGCP6	Rab family	Signal transducing proteins	0.056	0.061
NM_0001183	CHKB	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.083	0.079
NM_0002041	ARSA	NOD-like receptors	Immune system proteins	0.244	0.264
NM_0008249	SHANK3	SNARE family	Transporters	0.388	0.365
NM_0006799	TRNT1	Rho family	Signal transducing proteins	0.995	1.045
NM_0005028	CRBN	DLX gene family	Regulatory protein gene families	0.228	0.224
NM_0004644	ITPR1	ABC transporters	Transporters	0.651	0.612
NM_0004425	BRPF1	ATCase/OTCase family	Transporters	0.528	0.495
NM_0002087	SLC6A1	Peroxiredoxin	Signal transducing proteins	0.151	0.154
NM_0002047	WNT7A	Major histocompatibility complex (MHC)	Immune system proteins	0.086	0.095
NM_0002251	HACL1	GATA transcription factor	Regulatory protein gene families	0.599	0.634
NM_0006369	THRB	Serine/threonine-specific protein kinase	Signal transducing proteins	0.086	0.088
NM_0003144	LOC101927854	Serine/threonine-specific protein kinase	Signal transducing proteins	0.072	0.074
NM_0009777	NGLY1	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.613	0.59
NM_0002562	STT3B	CDK inhibitors	Regulatory protein gene families	0.521	0.56
NM_0007574	GLB1	Bacterial potassium transporter	Transporters	0.73	0.758
NM_0005820	CRTAP	Receptor tyrosine kinases	Signal transducing proteins	0.244	0.22
NM_0002408	SLC25A38	Glutamate transporter	Transporters	0.215	0.228
NM_0005944	GTDC2	Glycine transporter	Transporters	0.741	0.722
NM_0009936	TMIE	Arf family	Signal transducing proteins	0.679	0.69
NM_0003164	SLC25A20	Non-receptor tyrosine kinase	Signal transducing proteins	0.155	0.142
NM_0007540	QARS	Kinesin	Motor proteins	0.983	1.037
NM_0002777	MST1R	Peroxiredoxin	Signal transducing proteins	0.532	0.558
NM_0004144	CACNA2D2	DHH phosphatase family	Transporters	0.174	0.162
NM_0003104	POC1A	Serine/threonine-specific protein kinase	Signal transducing proteins	0.059	0.057
NM_0002007	DNAH1	Cyclin dependent kinases	Regulatory protein gene families	0.259	0.265
NM_0003954	BAP1	14-3-3 protein family	Regulatory protein gene families	0.714	0.767
NM_0007138	CACNA1D	Heat shock factor	Transporters	0.474	0.438
NM_0003003	WNT5A	NOTCH2NL	Regulatory protein gene families	0.839	0.86
NM_0004851	SLMAP	Serine/threonine-specific protein kinase	Signal transducing proteins	0.056	0.054
NM_0008132	PDHB	Peroxiredoxin	Signal transducing proteins	0.997	1.014
NM_0002616	LMOD3	G-proteins	Signal transducing proteins	0.966	0.947
NM_0004178	MITF	Neurotransmitter transporter	Transporters	0.614	0.633
NM_0008373	PROK2	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.92	0.868
NM_0002236	ROBO2	RIG-I like receptors	Immune system proteins	0.146	0.132
NM_0003792	POU1F1	NOD-like receptors	Immune system proteins	0.716	0.739
NM_0004278	ARL6	Papain-like protease	Transporters	0.38	0.418
NM_0004928	CPOX	General transcription factor	Regulatory protein gene families	0.051	0.047
NM_0002861	ILDR1	G-proteins	Signal transducing proteins	0.76	0.802
NM_0007117	CASR	ABC transporters	Transporters	0.276	0.297
NM_0007919	RAB7A	General transcription factor	Regulatory protein gene families	0.08	0.088
NM_0008574	IFT122	Kinesin	Motor proteins	0.599	0.609
NM_0006797	RHO	Dynein	Motor proteins	0.802	0.771
NM_0002447	ATP2C1	Peroxin	Transporters	0.417	0.447
NM_0002661	MRPL3	Cyclin dependent kinases	Regulatory protein gene families	0.315	0.299
NM_0005487	BFSP2	NOTCH2NL	Regulatory protein gene families	0.504	0.548
NM_0008188	CEP63	Protocadherin gene family	Transporters	0.544	0.529
NM_0008930	MRPS22	Heat shock factor	Transporters	0.399	0.43
NM_0003799	RASA2	Families containing homeobox domains	Regulatory protein gene families	0.863	0.802
NM_0008331	PLOD2	Heat shock proteins	Transporters	0.34	0.362
NM_0004460	AGTR1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.907	0.925
NM_0008302	GYG1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.23	0.212
NM_0007376	CP	SOX gene family	Regulatory protein gene families	0.142	0.136
NM_0008672	GFM1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.473	0.431
NM_0004395	IFT80	Membrane-spanning 4A	Transporters	0.66	0.623
NM_0008779	PDCD10	Olfactory receptor	Signal transducing proteins	0.478	0.515
NM_0009370	SERPINI1	POU family	Regulatory protein gene families	0.697	0.713
NM_0001147	ACTRT3	Neurotransmitter transporter	Transporters	0.134	0.128
NM_0007097	DNAJC19	Receptor tyrosine kinases	Signal transducing proteins	0.4	0.367
NM_0005259	SOX2	SNARE family	Transporters	0.579	0.635
NM_0005437	KLHL24	Ras family	Signal transducing proteins	0.06	0.064
NM_0007841	THPO	Ras family	Signal transducing proteins	0.91	0.989
NM_0005596	MASP1	DHH phosphatase family	Transporters	0.16	0.173
NM_0001856	CLDN1	Papain-like protease	Transporters	0.58	0.55
NM_0009394	CLDN16	Monoamine transporter	Transporters	0.292	0.297
NM_0001354	TNK2	Heat shock factor	Transporters	0.035	0.037
NM_0004774	RPL35A	Major histocompatibility complex (MHC)	Immune system proteins	0.026	0.027
NM_0007107	PIGG	Olfactory receptor	Signal transducing proteins	0.861	0.831
NM_0002824	HTT	Non-receptor tyrosine kinase	Signal transducing proteins	0.976	1.059
NM_0003443	QDPR	Rab family	Signal transducing proteins	0.798	0.874
NM_0002405	SEPSECS	FH2 protein (formin) gene family	Transporters	0.389	0.416
NM_0007798	LIAS	Membrane-spanning 4A	Transporters	0.894	0.864
NM_0002517	PHOX2B	Arf family	Signal transducing proteins	0.897	0.964
NM_0002036	SRD5A3	Olfactory receptor	Signal transducing proteins	0.375	0.384
NM_0007306	TMEM165	Fibroblast growth factor receptors (FGFR)	Transporters	0.811	0.735
NM_0002130	CEP135	Families containing homeobox domains	Regulatory protein gene families	0.653	0.602
NM_0004874	SRP72	Ras family	Signal transducing proteins	0.169	0.153
NM_0007256	SLC4A4	Rab family	Signal transducing proteins	0.316	0.31
NM_0008890	SCARB2	Expansin gene family	Transporters	0.256	0.267
NM_0008591	FRAS1	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.135	0.122
NM_0004363	COQ2	Antiporter	Transporters	0.716	0.677
NM_0006040	FAM175A	DHH phosphatase family	Transporters	0.345	0.366
NM_0006667	BMPR1B	MAP Kinase	Signal transducing proteins	0.705	0.727
NM_0009924	TACR3	Hox gene family	Regulatory protein gene families	0.846	0.832
NM_0009350	TBCK	RIG-I like receptors	Immune system proteins	0.323	0.341
NM_0004590	HADH	GATA transcription factor	Regulatory protein gene families	0.738	0.804
NM_0008086	CFI	Peroxin	Transporters	0.999	1.017
NM_0006912	PITX2	Major histocompatibility complex (MHC)	Immune system proteins	0.352	0.365
NM_0001494	PRSS12	Peroxiredoxin	Signal transducing proteins	0.052	0.057
NM_0005852	PRDM5	Kinesin	Motor proteins	0.26	0.235
NM_0008550	BBS7	Roundabout family	Transporters	0.974	0.94
NM_0007780	SPATA5	Kinesin	Motor proteins	0.839	0.894
NM_0004538	FAT4	Toll-like receptors	Immune system proteins	0.013	0.014
NM_0006825	NR3C2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.34	0.328
NM_0004215	LRAT	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.552	0.52
NM_0007802	GLRB	Dynein	Motor proteins	0.164	0.158
NM_0008370	PALLD	Heat shock factor	Transporters	0.251	0.238
NM_0004983	TRAPPC11	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.797	0.768
NM_0007865	KLKB1	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.625	0.615
NM_0005662	SLC6A3	P300-CBP coactivator family	Regulatory protein gene families	0.972	1.023
NM_0004049	NDUFS6	Olfactory receptor	Signal transducing proteins	0.298	0.327
NM_0001798	NSUN2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.242	0.254
NM_0008078	ANKH	Olfactory receptor	Signal transducing proteins	0.424	0.449
NM_0005609	AGXT2	Cyclins	Regulatory protein gene families	0.044	0.046
NM_0006671	IL7R	GABA transporter	Transporters	0.605	0.62
NM_0003316	NADK2	Cyclin dependent kinases	Regulatory protein gene families	0.072	0.076
NM_0005597	SLC1A3	Dynein	Motor proteins	0.504	0.531
NM_0007590	C9	Rab family	Signal transducing proteins	0.78	0.827
NM_0001306	OXCT1	Antiporter	Transporters	0.553	0.602
NM_0004927	FGF10	Pattern recognition receptor	Immune system proteins	0.225	0.207
NM_0007616	MOCS2	Bacterial potassium transporter	Transporters	0.011	0.012
NM_0001822	NDUFS4	Rho family	Signal transducing proteins	0.738	0.804
NM_0002578	MCIDAS	CDK inhibitors	Regulatory protein gene families	0.11	0.115
NM_0008294	CCNO	NOTCH2NL	Regulatory protein gene families	0.577	0.587
NM_0004836	PDE4D	Ras family	Signal transducing proteins	0.245	0.23
NM_0005087	ERCC8	Families containing homeobox domains	Regulatory protein gene families	0.879	0.948
NM_0004158	NDUFAF2	P300-CBP coactivator family	Regulatory protein gene families	0.188	0.176
NM_0008083	OCLN	Rab family	Signal transducing proteins	0.645	0.656
NM_0006304	HEXB	G-proteins	Signal transducing proteins	0.741	0.671
NM_0006811	PDE8B	CDK inhibitors	Regulatory protein gene families	0.628	0.572
NM_0009075	MEF2C	SNARE family	Transporters	0.947	0.932
NM_0003724	TTC37	MAP Kinase	Signal transducing proteins	0.929	0.855
NM_0004120	CHD1	Families containing homeobox domains	Regulatory protein gene families	0.251	0.26
NM_0002896	SLC25A46	CDK inhibitors	Regulatory protein gene families	0.843	0.885
NM_0006880	LOX	Major histocompatibility complex (MHC)	Immune system proteins	0.49	0.504
NM_0009246	CEP120	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.103	0.097
NM_0006688	HINT1	Heat shock proteins	Transporters	0.927	0.866
NM_0001509	UQCRQ	FH2 protein (formin) gene family	Transporters	0.602	0.615
NM_0002569	TGFBI	G-proteins	Signal transducing proteins	0.298	0.288
NM_0002463	KLHL3	Globin	Transporters	0.582	0.527
NM_0007473	MYOT	DHH phosphatase family	Transporters	0.238	0.216
NM_0002833	PURA	Serine/threonine-specific protein kinase	Signal transducing proteins	0.418	0.398
NM_0003638	NDUFA2	MADS-box gene family	Regulatory protein gene families	0.734	0.754
NM_0001067	HARS2	Ion channels	Transporters	0.343	0.322
NM_0006753	DIAPH1	Heat shock proteins	Transporters	0.276	0.267
NM_0005192	SPRY4	Janus kinases	Signal transducing proteins	0.638	0.657
NM_0001959	NR3C1	G-proteins	Signal transducing proteins	0.894	0.812
NM_0001729	POU4F3	Antiporter	Transporters	0.329	0.305
NM_0006177	CAMK2A	DLX gene family	Regulatory protein gene families	0.21	0.22
NM_0006165	HAND1	Aquaporins	Transporters	0.907	0.895
NM_0002920	SGCD	DLX gene family	Regulatory protein gene families	0.638	0.699
NM_0004665	GABRB2	Rho family	Signal transducing proteins	0.3	0.317
NM_0009704	GABRG2	Bacterial potassium transporter	Transporters	0.314	0.307
NM_0001886	DOCK2	Families containing homeobox domains	Regulatory protein gene families	0.033	0.034
NM_0005952	FOXI1	MAP Kinase	Signal transducing proteins	0.563	0.588
NM_0004129	SH3PXD2B	P300-CBP coactivator family	Regulatory protein gene families	0.015	0.015
NM_0004049	SLC34A1	P300-CBP coactivator family	Regulatory protein gene families	0.861	0.819
NM_0002975	DDX41	Hox gene family	Regulatory protein gene families	0.77	0.779
NM_0004979	NHP2	Nuclear receptor	Regulatory protein gene families	0.793	0.823
NM_0009918	F13A1	Solute carrier family	Transporters	0.629	0.686
NM_0002266	GCNT2	NOTCH2NL	Regulatory protein gene families	0.882	0.947
NM_0009538	MAK	FH2 protein (formin) gene family	Transporters	0.949	0.921
NM_0006699	GCM2	Janus kinases	Signal transducing proteins	0.441	0.408
NM_0005073	DCDC2	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.112	0.109
NM_0004619	GPLD1	SOX gene family	Regulatory protein gene families	0.229	0.238
NM_0004902	ZFP57	DHH phosphatase family	Transporters	0.591	0.638
NM_0005529	VARS2	GABA transporter	Transporters	0.437	0.422
NM_0005780	CYP21A2	Families containing homeobox domains	Regulatory protein gene families	0.556	0.503
NM_0002281	TNXB	Monoamine transporter	Transporters	0.167	0.165
NM_0005767	TAP2	Janus kinases	Signal transducing proteins	0.351	0.356
NM_0008285	COL11A2	Non-receptor tyrosine kinase	Signal transducing proteins	0.134	0.127
NM_0009507	RPS10-NUDT3	Receptor tyrosine kinases	Signal transducing proteins	0.451	0.43
NM_0005401	DNAH8	Monoamine transporter	Transporters	0.041	0.042
NM_0001714	MOCS1	SRC kinase family	Signal transducing proteins	0.39	0.371
NM_0007636	PRPH2	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.391	0.401
NM_0004125	CD2AP	RIG-I like receptors	Immune system proteins	0.583	0.544
NM_0003309	TFAP2B	Pattern recognition receptor	Immune system proteins	0.402	0.37
NM_0004153	ICK	Glutamate transporter	Transporters	0.051	0.048
NM_0006139	DST	Pattern recognition receptor	Immune system proteins	0.003	0.003
NM_0003209	RIMS1	NOTCH2NL	Regulatory protein gene families	0.57	0.624
NM_0004325	MTO1	Rho family	Signal transducing proteins	0.687	0.705
NM_0004375	MYO6	Membrane-spanning 4A	Transporters	0.311	0.339
NM_0006403	PGM3	Aquaporins	Transporters	0.426	0.384
NM_0002221	RIPPLY2	Rab family	Signal transducing proteins	0.142	0.13
NM_0005305	SLC35A1	Fibroblast growth factor receptors (FGFR)	Transporters	0.97	0.959
NM_0007125	NDUFAF4	CDK inhibitors	Regulatory protein gene families	0.463	0.502
NM_0005375	SIM1	Glycine transporter	Transporters	0.014	0.015
NM_0006337	SOBP	POU family	Regulatory protein gene families	0.937	0.982
NM_0007318	SEC63	DHH phosphatase family	Transporters	0.949	1.008
NM_0002924	OSTM1	ATCase/OTCase family	Transporters	0.285	0.312
NM_0002369	ZBTB24	Equilibrative nucleoside transporter family	Transporters	0.951	0.92
NM_0006804	LAMA4	RIG-I like receptors	Immune system proteins	0.451	0.409
NM_0003027	RFX6	DLX gene family	Regulatory protein gene families	0.905	0.82
NM_0008518	ARG1	Ras family	Signal transducing proteins	0.458	0.474
NM_0007632	PEX3	SOX gene family	Regulatory protein gene families	0.7	0.68
NM_0001346	GRM1	Rab family	Signal transducing proteins	0.075	0.082
NM_0006114	IYD	ATCase/OTCase family	Transporters	0.279	0.305
NM_0007701	RMND1	GATA transcription factor	Regulatory protein gene families	0.333	0.311
NM_0005267	SYNE1	Neurotransmitter transporter	Transporters	0.362	0.335
NM_0001084	SERAC1	RIG-I like receptors	Immune system proteins	0.553	0.604
NM_0006568	RNASET2	Cyclin dependent kinases	Regulatory protein gene families	0.241	0.224
NM_0006696	C6orf70	Heat shock factor	Transporters	0.797	0.779
NM_0004386	FAM20C	Families containing homeobox domains	Regulatory protein gene families	0.097	0.106
NM_0007098	LFNG	Non-receptor tyrosine kinase	Signal transducing proteins	0.675	0.65
NM_0004785	BRAT1	Hox gene family	Regulatory protein gene families	0.82	0.761
NM_0003699	CARD11	Myosin	Motor proteins	0.369	0.334
NM_0001316	AP5Z1	Janus kinases	Signal transducing proteins	0.884	0.844
NM_0001112	TWIST1	Aquaporins	Transporters	0.785	0.857
NM_0006730	FAM126A	Rap family	Signal transducing proteins	0.319	0.293
NM_0006779	KLHL7	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.549	0.515
NM_0001709	CYCS	Arf family	Signal transducing proteins	0.482	0.448
NM_0009665	HNRNPA2B1	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.967	0.988
NM_0007036	FKBP14	Ras family	Signal transducing proteins	0.195	0.199
NM_0007804	CDK13	Rho family	Signal transducing proteins	0.94	1.007
NM_0007359	AUTS2	Receptor tyrosine kinases	Signal transducing proteins	0.331	0.363
NM_0003356	ELN	Cyclins	Regulatory protein gene families	0.622	0.666
NM_0001334	POR	CDK inhibitors	Regulatory protein gene families	0.035	0.037
NM_0008255	MAGI2	Hox gene family	Regulatory protein gene families	0.339	0.351
NM_0007204	CD36	MAP Kinase	Signal transducing proteins	0.274	0.283
NM_0006930	CACNA2D1	Dynein	Motor proteins	0.991	0.95
NM_0004516	SEMA3E	Peroxiredoxin	Signal transducing proteins	0.887	0.974
NM_0001185	AKAP9	MAP Kinase	Signal transducing proteins	0.671	0.687
NM_0008273	KRIT1	Membrane-spanning 4A	Transporters	0.071	0.077
NM_0007245	SGCE	SNARE family	Transporters	0.869	0.898
NM_0008962	SLC25A13	Cyclin dependent kinases	Regulatory protein gene families	0.242	0.262
NM_0004609	ASNS	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.196	0.205
NM_0007039	AP4M1	GABA transporter	Transporters	0.448	0.424
NM_0009800	PLOD3	Ras family	Signal transducing proteins	0.545	0.597
NM_0003687	SLC26A5	Aquaporins	Transporters	0.223	0.243
NM_0003561	RINT1	Heat shock factor	Transporters	0.746	0.82
NM_0003183	SLC26A3	Antiporter	Transporters	0.443	0.485
NM_0009259	LAMB1	SRC kinase family	Signal transducing proteins	0.455	0.497
NM_0008654	PNPLA8	Fibroblast growth factor receptors (FGFR)	Transporters	0.745	0.791
NM_0004118	FOXP2	NF-kB	Regulatory protein gene families	0.663	0.707
NM_0005951	CAV1	NF-kB	Regulatory protein gene families	0.268	0.291
NM_0005245	TSPAN12	Globin	Transporters	0.981	0.952
NM_0009791	PAX4	DLX gene family	Regulatory protein gene families	0.23	0.237
NM_0006619	IMPDH1	Monoamine transporter	Transporters	0.283	0.295
NM_0008342	TNPO3	Myosin	Motor proteins	0.495	0.452
NM_0009229	PODXL	DHH phosphatase family	Transporters	0.849	0.916
NM_0007382	CHRM2	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.487	0.502
NM_0008318	TBXAS1	Kinesin	Motor proteins	0.935	0.984
NM_0006561	AGK	Heat shock factor	Transporters	0.297	0.279
NM_0003605	TPK1	Fibroblast growth factor receptors (FGFR)	Transporters	0.182	0.192
NM_0007645	NOS3	Ion channels	Transporters	0.026	0.025
NM_0009173	DPP6	Serine/threonine-specific protein kinase	Signal transducing proteins	0.801	0.742
NM_0006268	LMBR1	Expansin gene family	Transporters	0.721	0.758
NM_0001534	MCPH1	NOD-like receptors	Immune system proteins	0.006	0.006
NM_0009434	RP1L1	Membrane-spanning 4A	Transporters	0.245	0.262
